CountryID,CountryName,Event,No_of_Medals,Gold,Silver,Bronze
USA,United States,Athletics,3,1,0,2
USA,United States,Swimming,1,0,0,1
USA,United States,Gymnastics,4,0,0,4
USA,United States,Cycling,3,1,1,1
USA,United States,Judo,4,1,2,1
USA,United States,Rowing,2,1,0,1
USA,United States,Shooting,0,0,0,0
USA,United States,Wrestling,0,0,0,0
USA,United States,Boxing,2,1,0,1
USA,United States,Tennis,1,0,1,0
CHN,China,Athletics,2,1,1,0
CHN,China,Swimming,2,2,0,0
CHN,China,Gymnastics,0,0,0,0
CHN,China,Cycling,2,0,0,2
CHN,China,Judo,2,0,1,1
CHN,China,Rowing,2,0,1,1
CHN,China,Shooting,3,0,1,2
CHN,China,Wrestling,2,0,0,2
CHN,China,Boxing,2,0,1,1
CHN,China,Tennis,0,0,0,0
JPN,Japan,Athletics,2,1,1,0
JPN,Japan,Swimming,0,0,0,0
JPN,Japan,Gymnastics,1,0,1,0
JPN,Japan,Cycling,2,1,0,1
JPN,Japan,Judo,1,0,1,0
JPN,Japan,Rowing,1,0,0,1
JPN,Japan,Shooting,1,0,0,1
JPN,Japan,Wrestling,0,0,0,0
JPN,Japan,Boxing,4,0,2,2
JPN,Japan,Tennis,1,0,1,0
AUS,Australia,Athletics,0,0,0,0
AUS,Australia,Swimming,0,0,0,0
AUS,Australia,Gymnastics,0,0,0,0
AUS,Australia,Cycling,1,1,0,0
AUS,Australia,Judo,1,0,0,1
AUS,Australia,Rowing,2,1,1,0
AUS,Australia,Shooting,1,0,0,1
AUS,Australia,Wrestling,0,0,0,0
AUS,Australia,Boxing,1,1,0,0
AUS,Australia,Tennis,0,0,0,0
FRA,France,Athletics,1,0,1,0
FRA,France,Swimming,0,0,0,0
FRA,France,Gymnastics,1,0,1,0
FRA,France,Cycling,0,0,0,0
FRA,France,Judo,1,1,0,0
FRA,France,Rowing,1,1,0,0
FRA,France,Shooting,3,1,2,0
FRA,France,Wrestling,2,2,0,0
FRA,France,Boxing,4,0,0,4
FRA,France,Tennis,0,0,0,0
GBR,Great Britain,Athletics,0,0,0,0
GBR,Great Britain,Swimming,2,1,0,1
GBR,Great Britain,Gymnastics,1,0,1,0
GBR,Great Britain,Cycling,0,0,0,0
